"117","Le'Veon Bell","RB","FA","-","-","22.7","24.5","20.7","8.8","15.7","6.8","-","-","-","-","-","-","-","-","-","16.5","99.2"
"118","Buffalo Bills","DST","BUF","9","2","15","3","8","-1","10","BYE","7","16","4","0","4","3","-1","11","8","6.1","98"
"119","Detroit Lions","DST","DET","13","3","5","22","-2","2","7","-1","BYE","4","7","9","5","4","1","6","12","6.1","97"
"119","Greg Zuerlein","K","FA","10","6","7","6","5","-","6","5","17","7","1","-","-","3","7","6","11","6.9","97"
"121","Jimmy Graham","TE","FA","14.1","1.6","17.8","4.9","4.5","18","4.1","11","-","5.6","5.4","9.5","-","-","-","-","-","8.8","96.5"
"122","Nick Foles","QB","FA","19","10.1","6.9","18.7","1.8","-","6.3","13.3","6.9","6","-","3.3","3.6","-","-","-","-","8.7","96.1"
"123","Robert Woods","WR","PIT","3.7","13.5","5.8","2.8","1.1","6.7","18.9","-","0","3.4","6.4","4","8.9","13.1","6.4","-","-","6.8","94.7"
"124","Atlanta Falcons","DST","ATL","4","5","3","21","12","1","9","2","5","BYE","9","3","5","-2","5","8","3","5.8","93"
"125","Baltimore Ravens","DST","BAL","16","-1","11","5","3","3","3","2","BYE","6","14","9","7","-2","3","10","3","5.8","92"
"126","Melvin Gordon III","RB","FA","6.2","10.3","5.1","5.6","10.9","0.9","2.9","8.6","7.1","-","5.4","10.5","4.8","8.3","5.2","-","-","6.6","91.8"
"127","Devin Funchess","WR","FA","1.4","2","1.9","0","-","3.4","2.5","1.3","14.6","5.1","14.4","2.9","7.8","4","10","0","19.5","5.7","90.8"
"128","Jacksonville Jaguars","DST","JAC","6","3","-2","8","1","1","24","BYE","1","10","10","2","4","17","3","-2","4","5.6","90"
"129","DeSean Jackson","WR","FA","0","-","-","-","-","-","-","-","3","5.4","17.2","13.6","15","5.3","24.3","6","-","10","89.8"
"130","Tennessee Titans","DST","TEN","15","1","6","BYE","7","5","8","4","8","5","9","5","6","0","4","2","3","5.5","88"
"131","Randy Bullock","K","FA","7","6","7","-","-","-","-","-","-","5","6","9","11","14","8","9","5","7.9","87"
"132","Miami Dolphins","DST","MIA","9","0","-4","2","BYE","24","12","-2","2","8","7","-3","17","1","4","3","6","5.4","86"
"133","Los Angeles Chargers","DST","LAC","5","4","2","6","6","3","-3","2","11","-","3","4","7","10","6","5","12","5.2","83"
"134","Dwayne Harris","WR","FA","1.1","0","0","13.6","10.2","2.8","5.3","17.2","0.6","17.2","-","3.9","1.3","6.6","1.9","1.1","-","5.5","82.8"
"135","Dontrelle Inman","WR","FA","-","0","0","10.3","0","9.3","3.6","1.5","2.3","-","6.6","15","2","-","9.3","18.2","4","5.9","82.1"
"136","Davante Adams","WR","LAR","7.9","5.8","0","-","-","-","-","1.3","14.8","12.9","5.1","2.4","10.1","2.2","5.7","5.7","7.4","6.3","81.3"
"137","DeVante Parker","WR","FA","0","0.8","6.1","0","-","0","0","0","-","-","0","16","13.8","2.6","10.7","11.3","19.1","5.7","80.4"
"138","Cleveland Browns","DST","CLE","1","14","2","1","0","13","5","8","2","4","BYE","10","-3","13","1","4","5","5","80"
"138","Dallas Cowboys","DST","DAL","2","18","-3","3","4","BYE","2","7","1","10","12","2","6","1","5","8","2","5","80"
"138","Ryan Succop","K","FA","6","2","9","-","8","4","1","7","10","5","9","1","6","0","5","0","7","5","80"
"141","Albert Wilson","WR","FA","4","0","0","-","-","13.2","8.6","2.7","-","2.1","7.6","4.8","2.7","16.7","5.5","5.4","3.9","5.5","77.2"
"142","Chicago Bears","DST","CHI","-1","0","4","7","8","4","BYE","3","8","9","6","10","6","5","-3","7","4","4.8","77"
"143","Kyle Juszczyk","RB","SF","3.7","1.6","2.1","0.8","10.6","3.2","9.5","4.4","-","7.2","2.8","2.8","0.3","0","11.1","8","8.8","4.8","76.9"
"144","Marshawn Lynch","RB","FA","14.9","7.7","2.8","-","-","11.9","18.2","9.2","-","11.5","-","-","-","-","-","-","-","10.9","76.2"
"145","Carlos Hyde","RB","FA","31.2","8.1","6.6","2.7","16.2","7","4","-","-","-","-","-","-","-","-","-","-","10.8","75.8"
"146","Chris Hogan","WR","FA","0","1.6","11.7","6.8","12.9","4.1","8.6","-","0","0","12.5","4.9","1.7","3","1.8","4.9","1.1","4.7","75.6"
"147","Kenny Stills","WR","FA","1.7","1.8","0","16.6","-","5.6","0","7.3","8.9","0","12.2","2.2","0","11.9","2.8","2.9","1.6","4.7","75.5"
"148","Chris Thompson","RB","FA","1.1","1.5","18.6","8.7","7.8","6.8","-","-","3.1","8.2","3.2","2.1","4.4","-","-","7.7","1.9","5.8","75.1"
"149","Mohamed Sanu Sr.","WR","FA","4.4","2","4.4","10.4","9.4","4.8","-","2","12.5","1","3.1","1.3","0.7","3.4","2","11.4","2.2","4.7","75"
"150","New Orleans Saints","DST","NO","1","7","1","4","0","18","10","1","1","-1","BYE","3","12","2","1","6","7","4.6","73"
"151","Jerick McKinnon","RB","FA","3.8","0.6","1.8","0.6","-","0.2","4.2","1.8","2.1","1.2","2.5","3.3","3.9","1.3","16.6","22.7","6.3","4.6","72.9"
"152","Jared Cook","TE","FA","11","7.2","1.2","3.7","1.3","-","0.9","8.7","1.5","4.5","5.1","7.8","3.7","1.6","8.4","1","0","4.2","67.6"
"153","Vance McDonald","TE","FA","1","0","-","1.2","1.9","1.5","0.6","1.8","2.9","-","14.5","16.1","2.8","-","1.5","14.6","5.2","4.7","65.6"
"154","Nick Folk","K","NYJ","7","9","7","10","BYE","10","13","9","0","-","-","-","-","-","-","-","-","8.1","65"
"154","San Francisco 49ers","DST","SF","14","-4","-1","4","1","5","10","3","3","BYE","2","2","10","7","6","1","2","4.1","65"
"156","Brandon Bolden","RB","FA","1.8","0.8","0","-","0","0","-","0","11.4","-0.3","1.5","17.5","2.9","5.1","6.4","8.5","4.6","4","60.2"
"157","Darren Fells","TE","FA","16.2","0","1.8","2.2","9.5","1.4","-","-","-","3.6","8.3","0","2.7","5.8","6.9","0","1.2","4.3","59.6"
"158","Vernon Davis","TE","FA","6.2","8.7","0","-","-","0","8.1","5.4","0","2.9","9.8","2","3.5","10.9","1","0","0","3.9","58.5"
"159","Cameron Brate","TE","FA","-","-","0","1.2","0","-","1.1","11.8","2.2","1.1","12.2","13.8","2.2","2.6","3.5","5.1","1.5","4.2","58.3"
"160","AJ McCarron","QB","FA","-","-","-","-","-","-","-","-","-0.2","-","-","0.1","0.8","16","11.9","12.1","14.6","7.9","55.3"
"161","Ryan Grant","WR","FA","2","6","1.9","7","0.9","3.2","12.9","-","0","0","0","2.4","0","0","1.8","2.9","9.3","3.1","50.3"
"162","Maxx Williams","TE","FA","2","1.3","5.9","2.7","0.5","4.4","-","0","-","12","3.5","0","-","0","5.6","2.6","8.3","3.5","48.8"
"163","Ryan Griffin","TE","FA","2.3","-","-","-","-","-","-","-","-","5.1","1.6","15.2","10.4","2.5","4","1.8","4.2","5.2","47.1"
"164","Adam Humphries","WR","FA","2.4","0","-","0","-","-","-","2.9","8","3.5","7","3","1.1","7.1","9","1.5","0","3.5","45.5"
"165","J.J. Nelson","WR","FA","0","-2","-","-","-","-","0","8.5","-","-","22.2","6.3","10.4","0","0","0","0","4.1","45.4"
"166","Nelson Agholor","WR","FA","1","4.6","0","5.9","1","-","-","-","-","4.7","2.6","2.5","0","13.7","0","4.5","3.3","3.4","43.8"
